_id,name_en,name_fr,name_de,name_es,name_it,name_jp,game,armor_type,hunter_rank,village_stars,dlc_event,gender,hunter_type,rarity,num_slots,defense,max_defense,fire_res,water_res,thunder_res,ice_res,dragon_res,price
29,Conga Helm,Casque Conga,Conga-Helm,Casco de Conga,Elmo di Conga,,0,0,1,2,,0,0,3,1,28,,-3,2,2,-1,0,
30,Conga Cap,Heaume Conga,Conga-Kappe,Gorro de Conga,Cappello di Conga,,0,0,1,2,,0,0,3,1,16,,-1,4,4,0,1,
31,Gypceros Helm,Casque Gypceros,Gypceros-Helm,Casco de Gypceros,Elmo Gypceros,,0,0,1,3,,0,0,3,1,30,,-4,1,4,1,0,
32,Gypceros Cap,Heaume Gypceros,Gypceros-Kappe,Gorro de Gypceros,Cappello Gypceros,,0,0,1,3,,0,0,3,2,16,,-1,4,6,3,0,
33,Khezu Helm,Casque Khezu,Khezu-Helm,Casco de Khezu,Elmo Khezu,,0,0,1,3,,0,0,3,1,32,,-3,3,4,1,0,
34,Khezu Cap,Heaume Khezu,Khezu-Kappe,Gorro de Khezu,Cappello Khezu,,0,0,1,3,,0,0,3,2,16,,-1,5,6,2,0,
35,Hermitaur Helm,Casque Hermitaur,Hermitaur-Helm,Casco de Hermitaur,Elmo Hermitaur,,0,0,1,3,,0,0,3,1,32,,-3,3,-4,0,1,
36,Hermitaur Cap,Heaume Hermitaur,Hermitaur-Kappe,Gorro de Hermitaur,Cappello Hermitaur,,0,0,1,3,,0,0,3,2,16,,-1,5,-2,1,2,
37,Plesioth Helm,Casque Plesioth,Plesioth-Helm,Casco de Plesioth,Elmo Plesioth,,0,0,1,3,,0,0,3,1,34,,-4,4,-4,2,0,
38,Plesioth Cap,Heaume Plesioth,Plesioth-Kappe,Gorro de Plesioth,Cappello Plesioth,,0,0,1,3,,0,0,3,1,17,,-2,6,-2,3,1,
39,Lobster Helm,Casque homard,Hummer-Helm,Casco de Langosta,Elmo Aragosta,,0,0,1,3,,0,0,3,2,34,,-2,6,-6,2,-2,
40,Lobster Cap,Heaume homard,Hummer-Kappe,Gorro de Langosta,Cappello Aragosta,,0,0,1,3,,0,0,3,1,17,,0,6,-5,3,0,
41,Kut-Ku Helm D,Casque Kut-Ku D,Kut-Ku-Helm D,Casco de Kut-Ku D,Elmo di Kut-Ku D,,0,0,1,3,,0,0,3,2,22,,2,-2,0,-2,-1,
42,Kut-Ku Cap D,Heaume Kut-Ku D,Kut-Ku-Kappe D,Gorro de Kut-Ku D,Cappello di Kut-Ku D,,0,0,1,3,,0,0,3,2,10,,5,1,3,-1,0,
43,Gypceros Helm D,Casque Gypceros D,Gypceros-Helm D,Casco de Gypceros D,Elmo Gypceros D,,0,0,2,3,,0,0,3,1,28,,-4,1,4,1,0,
44,Gypceros Cap D,Heaume Gypceros D,Gypceros-Kappe D,Gorro de Gypceros D,Cappello Gypceros D,,0,0,2,3,,0,0,3,2,14,,-1,4,6,3,0,
45,Khezu Helm D,Casque Khezu D,Khezu-Helm D,Casco de Khezu D,Elmo Khezu D,,0,0,2,4,,0,0,3,1,30,,3,-3,4,0,0,
46,Khezu Cap D,Heaume Khezu D,Khezu-Kappe D,Gorro de Khezu D,Cappello Khezu D,,0,0,2,4,,0,0,3,2,14,,5,-1,6,1,0,
47,Plesioth Helm D,Casque Plesioth D,Plesioth-Helm D,Casco de Plesioth D,Elmo Plesioth D,,0,0,2,3,,0,0,3,1,32,,-4,4,-4,2,0,
48,Plesioth Cap D,Heaume Plesioth D,Plesioth-Kappe D,Gorro de Plesioth D,Cappello Plesioth D,,0,0,2,3,,0,0,3,1,15,,-2,6,-2,3,1,
49,Basarios Helm,Casque Basarios,Basarios-Helm,Casco de Basarios,Elmo Basarios,,0,0,2,4,,0,0,4,1,32,,0,2,2,1,-2,
50,Basarios Cap,Heaume Basarios,Basarios-Kappe,Gorro de Basarios,Cappello Basarios,,0,0,2,4,,0,0,4,2,16,,2,4,4,2,0,
51,Monoblos Helm,Ca sque Monoblos,Monoblos-Helm,Casco de Monoblos,Elmo Monoblos,,0,0,10,4,,0,0,4,1,36,,2,-1,-2,-1,-1,
52,Monoblos Cap,Heaume Monoblos,Monoblos-Kappe,Gorro de Monoblos,Cappello Monoblos,,0,0,10,4,,0,0,4,2,18,,4,2,0,0,0,
53,Yian Garuga Helm,Casque Yian Garuga,Yian Garuga-Helm,Casco de Yian Garuga,Elmo Yian Garuga,,0,0,10,4,,0,0,4,2,36,,2,0,2,0,0,
54,Yian Garuga Cap,Heaume Yian Garuga,Yian Garuga-Kappe,Gorro de Yian Garuga,Cappello Yian Garuga,,0,0,10,4,,0,0,4,2,18,,3,2,3,1,0,
55,Blango Helm,Casque Blango,Blango-Helm,Casco de Blango,Elmo di Blango,,0,0,1,4,,0,0,4,1,36,,-4,2,0,3,1,
56,Blango Cap,Heaume Blango,Blango-Kappe,Gorro de Blango,Cappello di Blango,,0,0,1,4,,0,0,4,2,18,,-3,4,1,5,2,
57,Ceanataur Helm,Casque Ceanataur,Ceanataur-Helm,Casco de Ceanataur,Elmo di Ceanataur,,0,0,1,4,,0,0,4,1,37,,1,2,-1,-1,0,
58,Ceanataur Cap,Heaume Ceanataur,Ceanataur-Kappe,Gorro de Ceanataur,Cappello Ceanataur,,0,0,1,4,,0,0,4,2,18,,2,4,0,0,2,
59,Rathian Helm,Casque Rathian,Rathian-Helm,Casco de Rathian,Elmo Rathian,,0,0,1,6,,0,0,4,1,38,,2,0,-2,0,-4,
60,Rathian Cap,Heaume Rathian,Rathian-Kappe,Gorro de Rathian,Cappello Rathian,,0,0,1,6,,0,0,4,2,18,,4,2,0,2,-2,
61,Tigrex Helm,Casque Tigrex,Tigrex-Helm,Casco de Tigrex,Elmo di Tigrex,,0,0,3,5,,0,0,4,1,40,,3,2,-2,3,-1,
62,Tigrex Cap,Heaume Tigrex,Tigrex-Kappe,Gorro de Tigrex,Cappello di Tigrex,,0,0,3,5,,0,0,4,2,20,,4,3,-1,4,0,
63,Rathalos Helm,Casque Rathalos,Rathalos-Helm,Casco de Rathalos,Elmo Rathalos,,0,0,1,6,,0,0,4,1,40,,2,-1,2,-3,-4,
64,Rathalos Cap,Heaume Rathalos,Rathalos-Kappe,Gorro de Rathalos,Cappello Rathalos,,0,0,1,6,,0,0,4,1,20,,4,0,5,-1,-2,
65,Diablo Helm,Casque Diablos,Diablos-Helm,Casco de Diablos,Elmo di Diablos,,0,0,3,5,,0,0,4,1,40,,3,-1,1,-2,0,
66,Diablo Cap,Heaume Diablos,Diablos-Kappe,Gorro de Diablos,Cappello Diablos,,0,0,3,5,,0,0,4,2,20,,5,2,4,-1,0,
67,Gravios Helm,Casque Gravios,Gravios-Helm,Casco de Gravios,Elmo Gravios,,0,0,3,5,,0,0,4,1,40,,2,-2,2,0,-2,
68,Gravios Cap,Heaume Gravios,Gravios-Kappe,Gorro de Gravios,Cappello Gravios,,0,0,3,5,,0,0,4,1,20,,4,1,3,1,0,
69,Diablo Helm D,Casque Diablos D,Diablos-Helm D,Casco de Diablos D,Elmo di Diablos D,,0,0,3,5,,0,0,4,1,38,,3,-1,1,-1,0,
70,Diablo Cap D,Heaume Diablos D,Diablos-Kappe D,Gorro de Diablos D,Cappello Diablos D,,0,0,3,5,,0,0,4,2,18,,5,2,4,-1,0,
71,Gravios Helm D,Casque Gravios D,Gravios-Helm D,Casco de Gravios D,Elmo Gravios D,,0,0,3,5,,0,0,4,1,38,,2,-2,2,1,0,
72,Gravios Cap D,Heaume Gravios D,Gravios-Kappe D,Gorro de Gravios D,Cappello Gravios D,,0,0,3,5,,0,0,4,2,18,,4,1,3,2,0,
73,Chaoshroom,Chaospignon,Chaospilz,Caospiñón,Fungo-caos,,0,0,1,2,,0,0,5,0,2,,2,2,2,2,2,
74,Mosswine Mask,Masque Mosswine,Mosswine-Maske,Máscara de Mosswine,Maschera Mosswine,,0,0,1,2,,0,0,5,1,3,,0,0,0,0,0,
75,Felyne Mask,Masque Felyne,Felyne-Maske,Máscara de Felyne,Maschera Felyne,,0,0,1,2,,0,0,5,0,4,,2,2,2,0,2,
76,Bullfango Mask,Masque Bullfango,Bullfango-Maske,Máscara de Bullfango,Maschera Bullfango,,0,0,1,2,,0,0,5,0,6,,0,0,2,2,1,
77,Giaprey Mask,Masque Giaprey,Giaprey-Maske,Máscara de Giaprey,Maschera di Giaprey,,0,0,1,2,,0,0,5,2,16,,0,2,2,3,-2,
78,Velociprey Mask,Masque Velociprey,Velociprey-Maske,Máscara Velociprey,Maschera Velociprey,,0,0,1,2,,0,0,5,2,18,,1,1,1,1,1,
79,Red Piercing,Piercing rouge,Rotes Piercing,Piercing Rojo,Orecchino Rosso,,0,0,1,3,,0,0,5,2,20,,5,0,0,0,0,
80,Blue Piercing,Piercing bleu,Blaues Piercing,Piercing Azul,Orecchino Blu,,0,0,1,3,,0,0,5,2,20,,0,5,0,0,0,
81,Yellow Piercing,Piercing jaune,Gelbes Piercing,Piercing Amarillo,Orecchino Giallo,,0,0,1,3,,0,0,5,2,20,,0,0,5,0,0,
82,Black Piercing,Piercing noir,Schwarzes Piercing,Piercing Negro,Orecchino Nero,,0,0,1,3,,0,0,5,2,20,,0,0,0,0,5,
83,White Piercing,Piercing blanc,Weißes Piercing,Piercing Blanco,Orecchino Bianco,,0,0,3,4,,0,0,5,2,20,,0,0,0,5,0,
84,Comrade Piercing,Piercing compagnon,Kameraden-Piercing,Piercing Camarada,Orecchino Compagno,,0,0,7,7,,0,0,5,0,20,,0,0,0,0,0,
85,Garuga Mask,Masque Garuga,Garuga-Maske,Máscara de Garuga,Maschera Garuga,,0,0,8,4,,0,0,5,1,20,,2,2,2,2,2,
86,Bistro Cap,Heaume Bistro,Bistro-Kappe,Gorro de Chef,Cappello Bistro,,0,0,1,3,,0,0,5,0,20,,2,2,2,2,2,
87,Genprey Mask,Masque Genprey,Genprey-Maske,Máscara de Genprey,Maschera Genprey,,0,0,1,3,,0,0,5,2,20,,1,1,2,1,1,
88,Black Belt Helm,Casq. ceinture noire,Schwarzgurt-Helm,Casco Cinturón Negro,Elmo Cintura Nera,,0,0,8,4,,0,0,5,0,20,,2,2,2,2,2,
89,Shinobi Mask (Sun),Masq. Shinobi Soleil,Shinobi-Maske Sonne,Másc. Shinobi (Sol),Masch.Shinobi (Sole),,0,0,3,6,,0,0,5,1,20,,2,-6,4,-3,2,
90,Shinobi Mask (Moon),Masque Shinobi Lune,Shinobi-Maske Mond,Másc. Shinobi (Luna),Masch.Shinobi (Luna),,0,0,3,6,,0,0,5,1,20,,2,-6,4,-3,2,
91,Guild Knight Feather,Plume de la guilde,Gildenritter-Feder,Pluma caball. Gremio,Piuma cav. Gilda,,0,0,3,5,,1,0,5,1,20,,0,0,0,0,0,
92,Guild Knight Mask,Masque de la guilde,Gildenritter-Maske,Máscara cab. Gremio,Maschera cav. Gilda,,0,0,3,5,,1,0,5,1,20,,0,0,0,0,0,
93,Guardian Helm,Casque du gardien,Wächter-Helm,Casco de Guardián,Elmo Guardiano,,0,0,1,3,,1,0,5,2,20,,0,0,0,0,0,
94,Guardian Mask,Masque du gardien,Wächter-Maske,Máscara de Guardián,Maschera Guardiano,,0,0,1,3,,1,0,5,1,20,,0,0,0,0,0,
95,Maiden's Hat,Coiffe de demoiselle,Magd-Hut,Sombrero de Doncella,Cappello da Donna,,0,0,3,5,,2,0,5,1,20,,0,0,0,0,0,
96,Designer Glasses,Lunettes branchées,Designerbrille,Gafas de Diseño,Occhiali Firmati,,0,0,3,5,,2,0,5,1,20,,0,0,0,0,0,
97,Helper Hood,Capuchon aide,Helfer-Haube,Capucha de Ayudante,Cappuccio Aiutante,,0,0,1,3,,2,0,5,2,20,,0,0,0,0,0,
98,Healer Glasses,Lunettes guérisseur,Heiler-Brille,Gafas de Sanador,Occhiali Guaritrici,,0,0,1,3,,2,0,5,1,20,,0,0,0,0,0,
99,Ioprey Mask,Masque Ioprey,Ioprey-Maske,Máscara de Ioprey,Maschera Ioprey,,0,0,1,3,,0,0,5,2,22,,2,1,1,1,1,
100,Remobra Face,Visage Remobra,Remobra-Gesicht,Cara de Remobra,Faccia di Remobra,,0,0,1,4,,0,0,5,0,24,,0,-1,-1,-1,-1,
101,Melahoa Flower Hat,Coif. Fleur Melahoa,Melahoa-Blumenhut,Somb. Flores Melahoa,Capp. Fiore Melahoa,,0,0,1,2,,0,0,5,1,20,,0,1,1,0,0,
102,Melahoa Bloom,Fleur Melahoa,Melahoa-Blüte,Flor Melahoa,Fiore Melahoa,,0,0,1,2,,0,0,5,1,10,,0,2,1,0,0,
103,Makluva Hood,Capuchon Makluva,Makluva-Kapuze,Capucha de Makluva,Cappuccio Makluva,,0,0,1,2,,0,0,5,1,28,,0,2,-2,0,0,
104,Makluva Gills,Branchies Makluva,Makluva-Kiemen,Agallas de Makluva,Branchie Makluva,,0,0,1,2,,0,0,5,1,16,,0,3,-1,0,0,
105,Hypno Helm,Casque Hypno,Hypno-Helm,Casco Hypno,Elmo Hypno,,0,0,7,10,,0,0,5,0,32,,-2,2,0,1,1,
106,Hypno Cap,Heaume Hypno,Hypno-Kappe,Gorro Hypno,Cappello Hypno,,0,0,7,10,,0,0,5,0,16,,0,4,2,3,2,
107,Obituary Testa,Testa nécrologie,Todes-Testa,Testa de Obituario,Testa Necrologio,,0,0,1,4,,1,0,5,1,32,,3,-5,3,-4,2,
108,Obituary Caput,Caput nécrologie,Todes-Caput,Cabeza de Obituario,Caput Necrologio,,0,0,1,4,,1,0,5,2,16,,4,-4,5,-3,2,
109,Butterfly Testa,Testa papillon,Schmetterling-Testa,Testa de Mariposa,Testa Farfalla,,0,0,1,4,,2,0,5,1,32,,3,-5,3,-4,2,
110,Butterfly Caput,Caput papillon,Schmetterling-Caput,Cabeza de Mariposa,Caput Farfalla,,0,0,1,4,,2,0,5,2,16,,4,-4,5,-3,2,
111,Black Head,Tête noire,Schwarzer Kopf,Cabeza Negra,Testa nera,,0,0,10,5,,0,0,5,2,36,,0,2,2,2,-5,
112,Black Face,Visage noir,Schwarzes Gesicht,Cara negra,Faccia nera,,0,0,10,5,,0,0,5,2,18,,2,4,4,3,-2,
113,Death Stench Brain,Cerv. odeur de mort,Todesgestank-Hirn,Cerebro Hedor Muerte,Cervello Puzza morte,,0,0,3,4,,0,0,5,2,40,,2,1,1,-1,0,
114,Death Stench Soul,Âme odeur de mort,Todesgestank-Seele,Alma Hedor Muerte,Anima Puzza di morte,,0,0,3,4,,0,0,5,2,20,,3,2,2,0,1,
115,Lava Helm,Heaume Lava,Lava-Kappe,Gorro Lava,Elmo Lava,,0,0,7,10,,0,0,5,1,40,,4,-3,0,0,1,
116,Lava Cap,Casque Lava,Lava-Helm,Casco Lava,Cappello Lava,,0,0,7,10,,0,0,5,1,20,,5,-1,2,2,2,
117,Mizuha Cap,Heaume Mizuha,Mizuha-Kappe,Gorro Mizuha,Cappello Mizuha,,0,0,3,5,,0,0,5,1,40,,-4,3,0,4,-1,
118,Extravagant Cap,Heaume extravagance,Extravagante Kappe,Gorro Extravagante,Cappello Stravagante,,0,0,3,5,,0,0,5,1,20,,-3,4,1,5,0,
119,Kushala Glare,Regard Kushala,Kushala-Blender,Fulgor Kushala,Riverbero di Kushala,,0,0,3,4,,0,0,5,1,42,,0,2,-2,4,-3,
120,Kushala Snarl,Grondement Kushala,Kushala-Knurrer,Gruñido Kushala,Ringhio di Kushala,,0,0,3,4,,0,0,5,1,21,,2,3,-2,5,-2,
121,Kirin Horn,Corne Kirin,Kirin-Horn,Cuerno de Kirin,Corno di Kirin,,0,0,3,5,,0,0,5,1,44,,0,2,4,0,-1,
122,Kirin Crest,Crête Kirin,Kirin-Kamm,Cresta de Kirin,Cresta di Kirin,,0,0,3,5,,0,0,5,1,22,,1,4,6,1,0,
123,Guardian Spirit Mask,Masque esprit gard.,Wächterseelen-Maske,Másca. Espír. Guard.,Masch. Spir. Guard.,,0,0,3,6,,0,0,5,2,44,,2,2,0,-2,-2,
124,Carnage Mask,Masque carnage,Gemetzelmaske,Máscara de Matanza,Maschera Strage,,0,0,3,6,,0,0,5,2,22,,3,4,2,-1,-1,
125,Auroros Helm,Casque Auroros,Auroros-Helm,Casco de Auroros,Elmo Auroros,,0,0,3,6,,1,0,5,1,44,,-2,2,0,2,-4,
126,Genesis Headpiece,Coiffe Genesis,Genesis-Haube,Casco Génesis,Copricapo Genesis,,0,0,3,6,,1,0,5,2,22,,1,3,2,3,-2,
127,Borealis Crown,Couronne  Borealis,Borealis-Krone,Corona Borealis,Corona Borealis,,0,0,3,6,,2,0,5,1,44,,-2,2,0,2,-4,
128,Glyph Crown,Couronne Glyphe,Glyph-Krone,Corona de Glyph,Corona Glifo,,0,0,3,6,,2,0,5,2,22,,1,3,2,3,-2,
129,Empress Crown,Couronne Impératrice,Kaiserin-Krone,Corona de Emperatriz,Corona Imperatrice,,0,0,10,5,,0,0,5,2,46,,5,-1,0,0,-2,
130,Empress Mask,Masque Impératrice,Kaiserin-Maske,Máscara Emperatriz,Maschera Imperatrice,,0,0,10,5,,0,0,5,1,23,,6,1,2,0,-1,
131,Indra Helm,Casque Indra,Indra-Helm,Casco de Indra,Elmo Indra,,0,0,3,6,,0,0,5,1,48,,-2,3,2,2,-2,
132,Steadfast Helm,Casque inébranlable,Standfester Helm,Casco Firme,Elmo Risoluto,,0,0,3,6,,0,0,5,1,24,,0,5,3,3,-1,
133,Kaiser Crown,Couronne Kaiser,Kaiser-Krone,Corona de Kaiser,Corona del Kaiser,,0,0,3,6,,0,0,5,1,48,,5,-1,0,0,-2,
134,Kaiser Mask,Masque Kaiser,Kaiser-Maske,Máscara de Kaiser,Maschera del Kaiser,,0,0,3,6,,0,0,5,1,24,,6,1,2,0,-1,
135,(dummy)Red Lobster Helm,(dummy)Red Lobster Helm,(dummy)Red Lobster Helm,(dummy)Red Lobster Helm,(dummy)Red Lobster Helm,,0,0,6,5,,0,0,5,2,32,,3,0,-2,1,0,
136,(dummy)Red Lobster Cap,(dummy)Red Lobster Cap,(dummy)Red Lobster Cap,(dummy)Red Lobster Cap,(dummy)Red Lobster Cap,,0,0,6,5,,0,0,5,2,15,,3,0,0,1,1,
137,Monodevil Helm,Casque Monodevil,Monodevil-Helm,Casco de Monodevil,Elmo Monodevil,,0,0,10,4,,0,0,5,1,34,,2,-1,-2,-1,-1,
138,Monodevil Cap,Heaume Monodevil,Monodevil-Kappe,Gorro de Monodevil,Cappello Monodevil,,0,0,10,4,,0,0,5,1,16,,4,2,0,0,0,
139,Rathian Heart Helm,Casq. cœur Rathian,Rathianherz-Helm,Casco Coraz. Rathian,Elmo cuore Rathian,,0,0,3,6,,0,0,5,1,36,,2,0,-2,0,-4,
140,Rathian Heart Cap,Heaume cœur Rathian,Rathianherz-Kappe,Gorro Coraz. Rathian,Capp. cuore Rathian,,0,0,3,6,,0,0,5,2,16,,4,2,0,2,-2,
141,Rathalos Soul Helm,Casque âme Rathalos,Rathalosseelen-Helm,Casco Alma Rathalos,Elmo Anima Rathalos,,0,0,3,6,,0,0,5,1,38,,2,-1,2,0,-4,
142,Rathalos Soul Cap,Heaume âme Rathalos,Rathalosseelen-Kappe,Gorro Alma Rathalos,Capp. Anima Rathalos,,0,0,3,6,,0,0,5,2,18,,4,2,5,1,-2,
143,Mafumofu Hood S,Capuchon Mafumofu S,Mafumofu-Kapuze S,Capucha Mafumofu S,Cappuccio Mafumofu S,,0,0,4,7,,0,0,6,2,20,,0,0,0,3,0,
144,Leather Helm S,Casque en cuir S,Lederhelm S,Casco de Cuero S,Elmo di Cuoio S,,0,0,4,7,,0,0,6,0,22,,2,0,0,0,0,
145,Chain Helm S,Casque en mailles S,Kettenhelm S,Casco Cota Malla S,Elmo Maglia ferro S,,0,0,4,7,,0,0,6,2,24,,2,2,-2,1,0,
146,Hunter's Helm S,Casque de chasseur S,Jägerhelm S,Casco de Cazador S,Elmo da Cacciatore S,,0,0,4,7,,0,0,6,1,38,,0,0,-4,0,0,
147,Hunter's Cap S,Heaume de chasseur S,Jägerkappe S,Gorro de Cazador S,Capp. Cacciatore S,,0,0,4,7,,0,0,6,2,26,,2,2,-2,2,0,
148,Bone Helm S,Casque d'os S,Knochenhelm S,Casco de Hueso S,Elmo d'Osso S,,0,0,4,7,,0,0,6,2,44,,2,2,-2,-2,-2,
149,Bone Cap S,Heaume d'os S,Knochenkappe S,Gorro de Hueso S,Cappello d'Osso S,,0,0,4,7,,0,0,6,2,26,,5,5,0,-1,0,
150,Battle Helm S,Casque de combat S,Kampfhelm S,Casco de Combate S,Elmo Battaglia S,,0,0,4,7,,0,0,6,2,46,,2,-2,-2,-1,0,
151,Battle Cap S,Heaume de combat S,Kampfkappe S,Gorro de Combate S,Cappello Battaglia S,,0,0,4,7,,0,0,6,2,26,,4,0,0,0,2,
152,Velociprey Helm S,Casque Velociprey S,Velociprey-Helm S,Casco Velociprey S,Elmo Velociprey S,,0,0,4,7,,0,0,6,2,50,,1,1,1,0,-1,
153,Velociprey Cap S,Heaume Velociprey S,Velociprey-Kappe S,Gorro Velociprey S,Capp. Velociprey S,,0,0,4,7,,0,0,6,2,26,,3,3,3,1,0,
154,Vespoid Helm S,Casque Vespoid S,Vespoid-Helm S,Casco de Vespoid S,Elmo Vespoid S,,0,0,4,7,,0,0,6,1,50,,-6,-5,2,-4,2,
155,Vespoid Cap S,Heaume Vespoid S,Vespoid-Kappe S,Gorro de Vespoid S,Cappello Vespoid S,,0,0,4,7,,0,0,6,2,26,,-5,-4,5,-3,2,
156,Hi-Metal Helm S,Casque haut-métal S,Hochmetall-Helm S,Casco de Megametal S,Elmo Hi-Metal S,,0,0,4,7,,0,0,6,1,50,,-2,-2,3,-1,0,
157,Hi-Metal Cap S,Heaume haut-métal S,Hochmetall-Kappe S,Gorro de Megametal S,Cappello Hi-Metal S,,0,0,4,7,,0,0,6,2,26,,0,0,5,0,0,
158,Hornet Helm S,Casque Hornet S,Hornissen-Helm S,Casco de Hornet. S,Elmo Hornet S,,0,0,4,7,,0,0,6,2,52,,-6,-1,-5,-5,2,
159,Hornet Cap S,Heaume Hornet S,Hornissen-Kappe S,Gorro de Hornet. S,Cappello Hornet S,,0,0,4,7,,0,0,6,1,26,,-5,2,-3,-4,3,
160,Genprey Helm S,Casque Genprey S,Genprey-Helm S,Casco de Genprey S,Elmo Genprey S,,0,0,4,7,,0,0,6,1,52,,2,-2,3,-2,-1,
161,Genprey Cap S,Heaume Genprey S,Genprey-Kappe S,Gorro de Genprey S,Cappello Genprey S,,0,0,4,7,,0,0,6,2,26,,4,0,5,0,0,
162,Ioprey Helm S,Casque Ioprey S,Ioprey-Helm S,Casco de Ioprey S,Elmo Ioprey S,,0,0,4,7,,0,0,6,2,52,,3,2,-2,1,-1,
